fardanews_104455	tabnak_87398	0
fardanews_104455	tabnak_87405	0
fardanews_104455	fardanews_104296	0
fardanews_104455	fardanews_104298	0
fardanews_104455	tabnak_87430	0
fardanews_104455	tabnak_87427	0
fardanews_104455	fardanews_104310	0
fardanews_104455	fardanews_104312	0
fardanews_104455	fardanews_104327	0
fardanews_104455	tabnak_87481	0
fardanews_104455	fardanews_104350	0
fardanews_104455	fardanews_104355	0
fardanews_104455	fardanews_104359	0
fardanews_104455	fardanews_104364	0
fardanews_104455	fardanews_104374	0
fardanews_104455	fardanews_104378	0
fardanews_104455	tabnak_87502	0
fardanews_104455	fardanews_104380	0
fardanews_104455	tabnak_87522	0
fardanews_104455	tabnak_87545	0
fardanews_104455	fardanews_104433	0
fardanews_104455	fardanews_104436	0
fardanews_104455	tabnak_87574	0
fardanews_104455	tabnak_87579	0
fardanews_104404	tabnak_87270	0
fardanews_104404	fardanews_104223	0
fardanews_104404	tabnak_87281	0
fardanews_104404	tabnak_87332	0
fardanews_104404	fardanews_104271	0
fardanews_104404	tabnak_87369	0
fardanews_104404	tabnak_87379	0
fardanews_104404	tabnak_87398	0
fardanews_104404	tabnak_87405	0
fardanews_104404	fardanews_104296	0
fardanews_104404	fardanews_104298	0
fardanews_104404	tabnak_87430	0
fardanews_104404	tabnak_87427	0
fardanews_104404	fardanews_104310	0
fardanews_104404	fardanews_104312	0
fardanews_104404	fardanews_104327	0
fardanews_104404	tabnak_87481	0
fardanews_104404	fardanews_104350	0
fardanews_104404	fardanews_104355	0
fardanews_104404	fardanews_104359	0
fardanews_104404	fardanews_104364	0
fardanews_104404	fardanews_104374	0
fardanews_104404	fardanews_104378	0
fardanews_104404	tabnak_87502	0
fardanews_104404	fardanews_104380	0
fardanews_104404	tabnak_87522	0
fardanews_104404	tabnak_87545	0
fardanews_104404	fardanews_104433	0
fardanews_104404	fardanews_104436	0
fardanews_104404	tabnak_87574	0
fardanews_104404	tabnak_87579	0
fardanews_104404	fardanews_104455	0
fardanews_104469	tabnak_87270	0
fardanews_104469	fardanews_104223	0
fardanews_104469	tabnak_87281	0
fardanews_104469	tabnak_87332	0
fardanews_104469	fardanews_104271	0
fardanews_104469	tabnak_87369	0
fardanews_104469	tabnak_87379	0
fardanews_104469	tabnak_87398	0
fardanews_104469	tabnak_87405	0
fardanews_104469	fardanews_104296	0
fardanews_104469	fardanews_104298	0
fardanews_104469	tabnak_87430	0
fardanews_104469	tabnak_87427	0
fardanews_104469	fardanews_104310	0
fardanews_104469	fardanews_104312	0
fardanews_104469	fardanews_104327	0
fardanews_104469	tabnak_87481	0
fardanews_104469	fardanews_104350	0
fardanews_104469	fardanews_104355	0
fardanews_104469	fardanews_104359	0
fardanews_104469	fardanews_104364	0
fardanews_104469	fardanews_104374	0
fardanews_104469	fardanews_104378	0
fardanews_104469	tabnak_87502	0
fardanews_104469	fardanews_104380	0
fardanews_104469	tabnak_87522	0
fardanews_104469	tabnak_87545	0
fardanews_104469	fardanews_104433	0
fardanews_104469	fardanews_104436	0
fardanews_104469	tabnak_87574	0
fardanews_104469	tabnak_87579	0
fardanews_104469	fardanews_104455	0
fardanews_104469	fardanews_104404	0
fardanews_104477	tabnak_87270	0
fardanews_104477	fardanews_104223	0
fardanews_104477	tabnak_87281	0
fardanews_104477	tabnak_87332	0
fardanews_104477	fardanews_104271	0
fardanews_104477	tabnak_87369	0
fardanews_104477	tabnak_87379	0
fardanews_104477	tabnak_87398	0
fardanews_104477	tabnak_87405	0
fardanews_104477	fardanews_104296	0
fardanews_104477	fardanews_104298	0
fardanews_104477	tabnak_87430	0
fardanews_104477	tabnak_87427	0
fardanews_104477	fardanews_104310	0
fardanews_104477	fardanews_104312	0
fardanews_104477	fardanews_104327	0
fardanews_104477	tabnak_87481	0
fardanews_104477	fardanews_104350	0
fardanews_104477	fardanews_104355	0
fardanews_104477	fardanews_104359	0
fardanews_104477	fardanews_104364	0
fardanews_104477	fardanews_104374	0
fardanews_104477	fardanews_104378	0
fardanews_104477	tabnak_87502	0
fardanews_104477	fardanews_104380	0
fardanews_104477	tabnak_87522	0
fardanews_104477	tabnak_87545	0
fardanews_104477	fardanews_104433	0
fardanews_104477	fardanews_104436	0
fardanews_104477	tabnak_87574	0
fardanews_104477	tabnak_87579	0
fardanews_104477	fardanews_104455	0
fardanews_104477	fardanews_104404	0
fardanews_104477	fardanews_104469	0
tabnak_87620	tabnak_87270	0
tabnak_87620	fardanews_104223	0
tabnak_87620	tabnak_87281	0
tabnak_87620	tabnak_87332	0
tabnak_87620	fardanews_104271	0
tabnak_87620	tabnak_87369	0
tabnak_87620	tabnak_87379	0
tabnak_87620	tabnak_87398	0
tabnak_87620	tabnak_87405	0
tabnak_87620	fardanews_104296	0
tabnak_87620	fardanews_104298	0
