132789_fardanews,132481_fardanews=0
132789_fardanews,122156_khabaronline=0
132789_fardanews,132482_fardanews=0
132789_fardanews,122158_khabaronline=0
132789_fardanews,122160_khabaronline=0
132789_fardanews,132500_fardanews=0
132789_fardanews,132505_fardanews=0
132789_fardanews,122166_khabaronline=0
132789_fardanews,122168_khabaronline=0
132789_fardanews,132513_fardanews=0
132789_fardanews,122188_khabaronline=0
132789_fardanews,122197_khabaronline=0
132789_fardanews,132531_fardanews=0
132789_fardanews,132533_fardanews=0
132789_fardanews,132534_fardanews=0
132789_fardanews,132542_fardanews=0
132789_fardanews,122245_khabaronline=0
132789_fardanews,122265_khabaronline=0
132789_fardanews,132597_fardanews=0
132789_fardanews,132602_fardanews=0
132789_fardanews,132614_fardanews=0
132789_fardanews,132623_fardanews=0
132862_fardanews,132453_fardanews=48.3575
132862_fardanews,132454_fardanews=55.4826
132862_fardanews,122118_khabaronline=47.0501
132862_fardanews,122126_khabaronline=51.2861
132862_fardanews,122137_khabaronline=55.0763
132862_fardanews,122140_khabaronline=54.9502
132862_fardanews,132475_fardanews=55.1841
132862_fardanews,132477_fardanews=45.7958
132862_fardanews,132479_fardanews=-nan
132862_fardanews,132481_fardanews=50.5438
132862_fardanews,122156_khabaronline=54.2158
132862_fardanews,132482_fardanews=-nan
132862_fardanews,122158_khabaronline=50.8661
132862_fardanews,122160_khabaronline=49.8884
132862_fardanews,132500_fardanews=-nan
132862_fardanews,132505_fardanews=49.6104
132862_fardanews,122166_khabaronline=-nan
132862_fardanews,122168_khabaronline=54.3315
132862_fardanews,132513_fardanews=55.7546
132862_fardanews,122188_khabaronline=-nan
132862_fardanews,122197_khabaronline=54.7869
132862_fardanews,132531_fardanews=-nan
132862_fardanews,132533_fardanews=55.2276
132862_fardanews,132534_fardanews=54.0342
132862_fardanews,132542_fardanews=-nan
132862_fardanews,122245_khabaronline=-nan
132862_fardanews,122265_khabaronline=55.7546
132862_fardanews,132597_fardanews=-nan
132862_fardanews,132602_fardanews=-nan
132862_fardanews,132614_fardanews=-nan
132862_fardanews,132623_fardanews=-nan
132862_fardanews,132789_fardanews=-nan
132863_fardanews,132453_fardanews=45.8152
132863_fardanews,132454_fardanews=53.4653
132863_fardanews,122118_khabaronline=47.2372
132863_fardanews,122126_khabaronline=54.1348
132863_fardanews,122137_khabaronline=52.9426
132863_fardanews,122140_khabaronline=51.1909
132863_fardanews,132475_fardanews=52.3001
132863_fardanews,132477_fardanews=44.4472
132863_fardanews,132479_fardanews=-nan
132863_fardanews,132481_fardanews=50.1713
132863_fardanews,122156_khabaronline=50.4648
132863_fardanews,132482_fardanews=-nan
132863_fardanews,122158_khabaronline=49.753
132863_fardanews,122160_khabaronline=50.2595
132863_fardanews,132500_fardanews=-nan
132863_fardanews,132505_fardanews=53.0084
132863_fardanews,122166_khabaronline=-nan
132863_fardanews,122168_khabaronline=52.7584
132863_fardanews,132513_fardanews=54.0712
132863_fardanews,122188_khabaronline=-nan
132863_fardanews,122197_khabaronline=51.5069
132863_fardanews,132531_fardanews=-nan
132863_fardanews,132533_fardanews=54.6101
132863_fardanews,132534_fardanews=52.7863
132863_fardanews,132542_fardanews=-nan
132863_fardanews,122245_khabaronline=-nan
132863_fardanews,122265_khabaronline=53.924
132863_fardanews,132597_fardanews=-nan
132863_fardanews,132602_fardanews=-nan
132863_fardanews,132614_fardanews=-nan
132863_fardanews,132623_fardanews=-nan
132863_fardanews,132789_fardanews=-nan
132863_fardanews,132862_fardanews=53.2608
132885_fardanews,132453_fardanews=47.2738
132885_fardanews,132454_fardanews=50.7555
132885_fardanews,122118_khabaronline=41.2944
132885_fardanews,122126_khabaronline=53.2689
132885_fardanews,122137_khabaronline=53.6029
132885_fardanews,122140_khabaronline=47.652
132885_fardanews,132475_fardanews=55.1499
132885_fardanews,132477_fardanews=40.114
132885_fardanews,132479_fardanews=-nan
132885_fardanews,132481_fardanews=43.2881
132885_fardanews,122156_khabaronline=45.0852
132885_fardanews,132482_fardanews=-nan
132885_fardanews,122158_khabaronline=43.9246
132885_fardanews,122160_khabaronline=41.4637
132885_fardanews,132500_fardanews=-nan
