theta,true-positive,false-alarm,miss-detection,true-negative,p-miss,p-fa
0.525,30,18,4,52,0.117647059,0.257142857
0.526,30,18,4,52,0.117647059,0.257142857
0.527,30,18,4,52,0.117647059,0.257142857
0.528,30,18,4,52,0.117647059,0.257142857
0.529,30,18,4,52,0.117647059,0.257142857
0.53,30,18,4,52,0.117647059,0.257142857
0.531,30,18,4,52,0.117647059,0.257142857
0.532,30,18,4,52,0.117647059,0.257142857
0.533,30,18,4,52,0.117647059,0.257142857
0.534,30,18,4,52,0.117647059,0.257142857
0.535,30,18,4,52,0.117647059,0.257142857
0.536,30,18,4,52,0.117647059,0.257142857
0.537,30,18,4,52,0.117647059,0.257142857
0.538,30,18,4,52,0.117647059,0.257142857
0.539,30,18,4,52,0.117647059,0.257142857
0.54,30,18,4,52,0.117647059,0.257142857
0.541,30,18,4,52,0.117647059,0.257142857
0.542,30,18,4,52,0.117647059,0.257142857
0.543,30,18,4,52,0.117647059,0.257142857
0.544,30,18,4,52,0.117647059,0.257142857
0.545,30,18,4,52,0.117647059,0.257142857
0.546,30,18,4,52,0.117647059,0.257142857
0.547,29,18,5,52,0.147058824,0.257142857
0.548,29,18,5,52,0.147058824,0.257142857
0.549,29,18,5,52,0.147058824,0.257142857
0.55,29,18,5,52,0.147058824,0.257142857
0.551,29,18,5,52,0.147058824,0.257142857
0.552,29,18,5,52,0.147058824,0.257142857
0.553,29,18,5,52,0.147058824,0.257142857
0.554,29,18,5,52,0.147058824,0.257142857
0.555,29,18,5,52,0.147058824,0.257142857
0.556,29,18,5,52,0.147058824,0.257142857
0.557,29,18,5,52,0.147058824,0.257142857
0.558,29,18,5,52,0.147058824,0.257142857
0.559,29,18,5,52,0.147058824,0.257142857
0.56,29,18,5,52,0.147058824,0.257142857
0.561,29,18,5,52,0.147058824,0.257142857
0.562,29,18,5,52,0.147058824,0.257142857
0.563,29,18,5,52,0.147058824,0.257142857
0.564,29,18,5,52,0.147058824,0.257142857
0.565,29,18,5,52,0.147058824,0.257142857
0.566,29,18,5,52,0.147058824,0.257142857
0.567,29,18,5,52,0.147058824,0.257142857
0.568,29,18,5,52,0.147058824,0.257142857
0.569,29,18,5,52,0.147058824,0.257142857
0.57,29,18,5,52,0.147058824,0.257142857
0.571,29,18,5,52,0.147058824,0.257142857
0.572,29,18,5,52,0.147058824,0.257142857
0.573,29,18,5,52,0.147058824,0.257142857
0.574,29,18,5,52,0.147058824,0.257142857
0.575,29,18,5,52,0.147058824,0.257142857
0.576,29,18,5,52,0.147058824,0.257142857
0.577,29,18,5,52,0.147058824,0.257142857
0.578,29,18,5,52,0.147058824,0.257142857
0.579,29,18,5,52,0.147058824,0.257142857
0.58,29,18,5,52,0.147058824,0.257142857
0.581,29,18,5,52,0.147058824,0.257142857
0.582,29,18,5,52,0.147058824,0.257142857
0.583,29,18,5,52,0.147058824,0.257142857
0.584,29,18,5,52,0.147058824,0.257142857
0.585,29,18,5,52,0.147058824,0.257142857
0.586,29,18,5,52,0.147058824,0.257142857
0.587,29,18,5,52,0.147058824,0.257142857
0.588,29,18,5,52,0.147058824,0.257142857
0.589,29,18,5,52,0.147058824,0.257142857
0.59,29,18,5,52,0.147058824,0.257142857
0.591,29,18,5,52,0.147058824,0.257142857
0.592,29,18,5,52,0.147058824,0.257142857
0.593,29,18,5,52,0.147058824,0.257142857
0.594,29,18,5,52,0.147058824,0.257142857
0.595,29,18,5,52,0.147058824,0.257142857
0.596,29,18,5,52,0.147058824,0.257142857
0.597,29,18,5,52,0.147058824,0.257142857
0.598,29,18,5,52,0.147058824,0.257142857
0.599,29,18,5,52,0.147058824,0.257142857
0.6,28,18,6,52,0.176470588,0.257142857
0.601,27,18,7,52,0.205882353,0.257142857
0.602,27,18,7,52,0.205882353,0.257142857
0.603,27,17,7,53,0.205882353,0.242857143
0.604,27,17,7,53,0.205882353,0.242857143
0.605,27,17,7,53,0.205882353,0.242857143
0.606,27,17,7,53,0.205882353,0.242857143
0.607,27,17,7,53,0.205882353,0.242857143
0.608,26,17,8,53,0.235294118,0.242857143
0.609,26,17,8,53,0.235294118,0.242857143
0.61,26,17,8,53,0.235294118,0.242857143
0.611,26,15,8,55,0.235294118,0.214285714
0.612,26,15,8,55,0.235294118,0.214285714
0.613,26,15,8,55,0.235294118,0.214285714
0.614,26,15,8,55,0.235294118,0.214285714
0.615,26,15,8,55,0.235294118,0.214285714
0.616,26,14,8,56,0.235294118,0.2
0.617,26,14,8,56,0.235294118,0.2
0.618,26,14,8,56,0.235294118,0.2
0.619,26,14,8,56,0.235294118,0.2
0.62,26,13,8,57,0.235294118,0.185714286
0.621,26,13,8,57,0.235294118,0.185714286
0.622,26,13,8,57,0.235294118,0.185714286
0.623,26,13,8,57,0.235294118,0.185714286
0.624,26,13,8,57,0.235294118,0.185714286
0.625,26,13,8,57,0.235294118,0.185714286
0.626,26,13,8,57,0.235294118,0.185714286
0.627,26,13,8,57,0.235294118,0.185714286
0.628,26,13,8,57,0.235294118,0.185714286
0.629,26,13,8,57,0.235294118,0.185714286
0.63,26,13,8,57,0.235294118,0.185714286
0.631,26,12,8,58,0.235294118,0.171428571
0.632,26,12,8,58,0.235294118,0.171428571
0.633,26,12,8,58,0.235294118,0.171428571
0.634,26,12,8,58,0.235294118,0.171428571
0.635,26,12,8,58,0.235294118,0.171428571
0.636,26,12,8,58,0.235294118,0.171428571
0.637,25,12,9,58,0.264705882,0.171428571
0.638,25,12,9,58,0.264705882,0.171428571
0.639,24,12,10,58,0.294117647,0.171428571
0.64,24,12,10,58,0.294117647,0.171428571
0.641,24,12,10,58,0.294117647,0.171428571
0.642,24,12,10,58,0.294117647,0.171428571
0.643,24,12,10,58,0.294117647,0.171428571
0.644,24,12,10,58,0.294117647,0.171428571
0.645,24,12,10,58,0.294117647,0.171428571
